cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7
Cell_636	1.66927e-39	2.90553e-07	1.35936e-06	0.0041517	0.993125	8.69822e-07	0.00195511	0.00076525
Cell_637	1.23123e-22	1.96417e-07	5.01277e-08	0.951225	0.000114501	4.26721e-18	0.023015	0.0256452
Cell_638	3.44291e-30	6.93706e-14	9.7439e-14	0.396125	1.57389e-10	2.32811e-22	0.00040337	0.603472
Cell_639	6.5482e-25	6.35937e-13	1.17699e-13	0.0242206	0.94327	3.13167e-24	0.0151751	0.0173344
Cell_640	2.30037e-16	3.61632e-09	2.28369e-09	0.960812	1.22987e-06	4.58117e-19	0.0172078	0.0219786
Cell_641	5.3885e-32	3.65209e-18	2.30627e-18	0.710996	0.166117	4.34005e-27	0.102252	0.020636
Cell_642	4.93069e-30	2.29188e-06	2.83611e-07	0.00218345	0.996074	8.30409e-15	0.00106522	0.000674447
Cell_643	0.999789	0.000149566	1.90236e-05	2.54592e-05	4.56348e-06	3.93225e-16	1.22874e-05	1.40375e-07
Cell_644	2.06669e-15	1.24862e-06	5.84172e-06	0.0224437	0.963268	2.13862e-18	0.00854583	0.00573541
Cell_645	1.13553e-12	0.000153425	0.000215503	0.00137506	0.996756	1.05841e-15	0.000802616	0.000697872
Cell_646	5.85782e-22	6.50535e-10	1.06372e-10	0.200038	0.717952	2.29822e-22	0.0311922	0.0508177
Cell_647	4.42789e-19	1.57195e-07	1.94056e-08	0.00100551	0.996033	1.67067e-18	0.000524301	0.00243721
Cell_648	8.8378e-05	2.26529e-05	5.40726e-05	0.915575	3.85842e-08	0.00509157	0.000926396	0.0782416
Cell_649	1.18558e-49	2.14378e-18	3.01119e-18	0.0594461	6.36985e-08	5.31329e-31	7.4755e-05	0.940479
Cell_650	3.99291e-31	4.47361e-10	5.54031e-11	0.184149	0.652609	7.54913e-19	0.0424476	0.120795
Cell_651	9.74382e-30	1.78462e-13	2.78985e-14	0.000125944	0.999574	2.09653e-26	6.7609e-05	0.000232545
Cell_652	8.07192e-18	0.0319065	0.00498784	0.614526	4.5826e-06	3.6502e-23	0.0051669	0.343408
Cell_653	2.31852e-17	9.25174e-06	4.32846e-05	3.99444e-05	0.999644	5.13377e-13	2.45586e-05	0.000238785
Cell_654	5.04302e-23	1.41379e-06	1.75089e-07	0.0084761	0.979812	5.32101e-20	0.00532775	0.0063825
Cell_655	1.43302e-14	2.40922e-07	1.52141e-07	0.000328785	0.998943	3.63838e-18	0.000124558	0.000603659
Cell_656	1.5289e-23	4.07921e-11	6.14738e-12	0.00366748	0.982831	9.20861e-23	0.000926565	0.0125745
Cell_657	1.4004e-18	0.000767099	0.000281177	0.000650225	0.997444	4.12196e-11	0.000429853	0.000427838
Cell_658	8.01371e-28	3.14954e-06	1.15445e-06	0.0326051	0.955822	1.75913e-05	0.0110913	0.000459609
Cell_659	3.90603e-34	2.62469e-30	5.8766e-31	0.36531	1.79335e-08	4.3156e-48	0.00148127	0.633209
