cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5	Node 6	Node 7	Node 8	Node 9	Node 10
Cell_1930	0.000679965	0.0021407	8.54459e-22	3.29612e-23	4.01183e-23	4.38213e-22	0.997179	7.55379e-22	2.01072e-36	3.0044e-21	9.57994e-29
Cell_1931	7.51413e-16	0.999998	9.00141e-17	1.83991e-18	4.15062e-18	2.71346e-18	1.69307e-06	5.91267e-19	2.30309e-27	1.3195e-16	4.53367e-29
Cell_1932	3.06594e-31	2.49327e-06	0.000821165	1.82598e-05	0.000107559	0.00462823	2.18859e-08	0.000349284	0.000983328	0.000291546	0.992798
Cell_1933	1.07617e-35	7.2974e-06	0.000330273	6.76443e-06	1.47069e-05	0.00064323	1.45969e-11	4.93926e-07	0.997542	0.00145529	4.7194e-27
Cell_1934	1.24921e-22	2.97248e-05	0.00514425	0.000105746	0.00135356	0.00241164	1.15653e-06	0.00557144	0.983035	0.00234767	3.17595e-08
Cell_1935	1.07146e-16	8.20551e-06	0.000517968	0.996813	2.52871e-05	2.49298e-05	5.92117e-10	5.62827e-05	5.30328e-09	0.00137086	0.00118331
Cell_1936	5.75164e-32	1.52777e-06	0.00208673	4.41976e-05	0.000215163	0.00198794	1.36857e-08	0.00226636	0.991481	0.00125028	0.000667075
Cell_1937	9.86964e-26	0.000685887	0.000587707	1.41709e-05	7.69796e-05	0.00231491	0.0234843	0.00309816	5.38249e-09	0.0695133	0.900225
Cell_1938	1.23012e-27	2.81613e-05	0.000158679	3.24765e-06	1.63614e-05	0.000276685	4.09865e-11	0.000149714	0.996735	0.00263252	1.99491e-17
Cell_1939	5.11068e-46	2.85057e-06	0.000330652	1.97636e-05	2.45856e-05	0.000491862	4.14877e-12	2.75622e-06	2.94346e-17	0.000122249	0.999005
Cell_1940	7.14641e-33	0.000498798	0.0392003	0.000802306	0.00188387	0.717447	6.94149e-10	0.0114444	0.190648	0.0379467	0.000128269
Cell_1941	2.27479e-15	0.00011848	0.0167451	0.000573387	0.00124508	0.021499	0.000809077	7.69983e-05	0.924808	0.0185694	0.0155554
Cell_1942	4.63823e-22	0.000171591	0.00479678	9.87198e-05	0.000854133	0.00435558	0.00184513	1.71492e-05	0.967609	0.0196014	0.000651013
Cell_1943	5.2355e-19	0.000125225	0.00427523	0.000105565	0.00024582	0.00316096	6.3326e-09	0.00490522	0.982345	0.0048366	1.04214e-12
Cell_1944	3.74307e-24	4.15601e-06	0.00177983	3.71252e-05	0.00150512	0.00327535	4.5606e-05	0.027867	0.000954379	0.000961793	0.96357
Cell_1945	5.10657e-30	0.00103857	0.00080311	1.63742e-05	4.61778e-05	0.000646858	8.00144e-16	2.68399e-05	0.612508	0.384914	8.43555e-17
Cell_1946	4.00392e-33	0.0136569	0.000476853	1.12036e-05	2.29164e-05	0.000972175	1.5928e-14	0.000274952	0.152834	0.831751	1.06761e-32
Cell_1947	3.83599e-26	4.92911e-05	0.00197994	4.05384e-05	9.049e-05	0.00201488	1.12812e-07	0.00989763	4.66006e-08	0.00612466	0.979802
Cell_1948	1.78374e-41	7.14177e-07	0.000252817	5.24684e-06	1.68577e-05	0.00087894	7.24351e-12	9.28671e-07	0.998731	0.000113062	1.57057e-16
Cell_1949	4.09786e-30	6.9721e-05	0.00848361	0.000178128	0.000520286	0.00961285	1.5957e-07	0.00455889	4.62565e-08	0.00400805	0.972568
Cell_1950	5.42109e-53	5.48618e-06	0.000126762	2.57271e-06	5.68928e-06	0.000636864	1.24314e-18	1.07868e-05	0.99884	0.000371543	2.17184e-24
Cell_1951	0.00664516	0.00272259	0.000156702	3.60416e-06	6.76095e-05	2.33817e-05	0.988946	0.0012468	7.73343e-11	0.000188598	4.62147e-14
Cell_1952	1.30716e-24	8.21922e-06	0.00170272	3.50016e-05	8.31266e-05	0.00115798	5.20001e-06	6.39362e-06	1.18335e-06	0.00177732	0.995223
Cell_1953	1.02808e-27	2.9928e-06	0.000341897	7.10815e-06	1.52245e-05	0.00136295	1.29728e-09	6.57526e-06	1.65183e-11	0.000450611	0.997813
