cell	Node 0	Node 1	Node 2	Node 3	Node 4	Node 5
Cell_298	1.11543e-05	1.28093e-08	1.27398e-06	0.998735	0.00124321	9.72269e-06
Cell_299	0.0177653	0.000602913	0.0599762	0.463356	0.000576756	0.457722
Cell_300	9.09748e-10	3.08703e-11	3.07134e-09	0.998757	0.00124318	2.34396e-08
Cell_301	3.69298e-05	1.25322e-06	0.998013	0.000963206	3.45024e-05	0.000951495
Cell_302	0.0177653	0.000602818	0.0599762	0.463356	0.000576753	0.457723
Cell_303	1.75704e-06	0.00131487	0.000283599	4.58273e-05	5.7044e-08	0.998354
Cell_304	2.89111e-11	0.00130788	0.00560359	1.14889e-11	1.43005e-14	0.993089
Cell_305	2.2309e-06	2.29019e-09	4.93889e-10	0.998753	0.00124322	1.73893e-06
Cell_306	6.76026e-13	0.00131487	0.000283582	2.59658e-13	3.23203e-16	0.998402
Cell_307	0.0188378	0.000640624	0.00322484	0.491329	0.000612645	0.485355
Cell_308	0.0174727	0.0170618	0.0589885	0.455725	0.000567314	0.450184
Cell_309	0.0177653	0.000602815	0.0599762	0.463356	0.000576826	0.457722
Cell_310	0.017468	0.0170573	0.0589726	0.455603	0.000835993	0.450063
Cell_311	0.0177653	0.00060289	0.0599762	0.463356	0.000576761	0.457722
Cell_312	0.018847	0.000639527	0.00274006	0.491569	0.000611883	0.485592
Cell_313	0.0172017	0.0167972	0.0580734	0.448656	0.016071	0.443201
Cell_314	1.85975e-09	2.76783e-12	2.75378e-10	0.998757	0.00124318	2.10161e-09
Cell_315	0.0185796	0.000630848	0.000136302	0.484594	0.0173583	0.478701
Cell_316	2.04847e-05	6.97076e-07	2.98047e-06	0.998205	0.00124268	0.000527787
Cell_317	1.79767e-09	3.34863e-11	4.98548e-12	0.965418	0.0345816	8.83551e-10
Cell_318	0.0177653	0.000602985	0.0599762	0.463356	0.000576773	0.457722
