cell	Node 0	Node 1	Node 2	Node 3	Node 4
Cell_777	2.5135e-08	1.59486e-33	2.53993e-09	3.95678e-10	1
Cell_778	0.565573	2.83084e-20	0.0571519	0.376761	0.000514256
Cell_779	0.430104	0.499764	0.0434626	0.00792682	0.0187431
Cell_780	0.5981	9.68335e-25	0.00305157	0.39843	0.000418168
Cell_781	0.56566	1.0214e-28	0.0571607	0.376819	0.000360046
Cell_782	0.432944	0.503064	0.0437496	0.00689484	0.0133473
Cell_783	1.00249e-18	1	1.01303e-19	2.14465e-20	1.66053e-21
Cell_784	6.28037e-14	8.76698e-39	6.3464e-15	9.94772e-16	1
Cell_785	1.19914e-24	1	1.21174e-25	1.9522e-26	1.01548e-27
Cell_786	0.00129039	0.00149939	5.80138e-06	0.997162	4.19591e-05
Cell_787	3.27348e-16	4.78432e-35	3.3079e-17	5.14591e-18	1
Cell_788	0.45008	0.522976	0.00218007	0.00836552	0.0163985
Cell_789	0.894179	2.61373e-26	0.0903579	0.0142178	0.00124569
Cell_790	2.76991e-14	3.21853e-14	1.34168e-16	4.50943e-16	1
Cell_791	3.07503e-12	1	1.38248e-14	4.95222e-14	9.56084e-14
Cell_792	0.430394	0.500101	0.0434919	0.00723261	0.01878
Cell_793	0.369461	7.93773e-18	0.0373346	0.00581043	0.587394
Cell_794	2.95957e-14	1	1.51001e-16	4.65245e-16	9.01624e-16
Cell_795	3.00905e-07	3.4964e-07	3.04068e-08	0.999999	1.04164e-08
Cell_796	9.99842e-16	3.11351e-40	1.5577e-11	1.61742e-17	1
Cell_797	0.258436	0.300293	0.0261153	0.00427619	0.410879
Cell_798	8.4206e-05	9.78441e-05	8.50913e-06	5.60946e-05	0.999753
Cell_799	0.97676	2.39558e-18	0.00473118	0.0175965	0.000912663
Cell_800	0.433108	0.503254	0.0437661	0.00686808	0.0130035
Cell_801	7.63347e-06	3.34698e-24	7.71373e-07	1.2477e-07	0.999991
Cell_802	0.000801585	0.00093141	4.36709e-06	0.998236	2.67584e-05
Cell_803	2.76257e-06	3.21e-06	2.79161e-07	1.84031e-06	0.999992
Cell_804	0.348735	0.405216	0.00189993	0.232313	0.0118369
Cell_805	8.35739e-07	3.59922e-24	8.44526e-08	0.999999	9.15653e-10
Cell_806	2.86336e-05	3.32711e-05	2.89346e-06	4.59848e-07	0.999935
Cell_807	4.72116e-10	6.39015e-28	4.7708e-11	7.49622e-12	1
Cell_808	3.85918e-08	6.78679e-28	3.89976e-09	1	3.28423e-11
Cell_809	0.432302	0.502318	0.0436847	0.00726467	0.014431
Cell_810	1.44305e-07	1.29277e-30	1.45822e-08	1	1.01258e-10
Cell_811	2.95957e-14	1	2.99069e-15	4.76628e-16	8.93487e-16
Cell_812	6.94294e-12	9.8245e-29	2.97375e-14	1.091e-13	1
Cell_813	0.000166714	2.27413e-30	1.68467e-05	0.999816	1.09989e-07
Cell_814	1.12634e-05	4.84831e-25	5.23456e-08	0.999989	8.8936e-09
Cell_815	3.18973e-18	1	3.22327e-19	5.0798e-20	3.24e-21
Cell_816	0.894334	4.7429e-23	0.0903736	0.014628	0.000664541
Cell_817	6.78639e-07	2.29292e-28	6.85774e-08	1.13619e-08	0.999999
Cell_818	0.337483	0.392142	0.0341031	0.224817	0.011455
Cell_819	0.428798	0.498246	0.0433306	0.00685424	0.0227718
Cell_820	6.15006e-13	1	6.21472e-14	9.87683e-15	1.85669e-14
Cell_821	6.93049e-05	3.46889e-24	3.11582e-07	1.08864e-06	0.999929
Cell_822	1.00249e-18	1	1.01303e-19	1.57591e-20	1.02187e-21
Cell_823	0.45803	0.532213	0.00205922	0.00733765	0.000360387
Cell_824	9.38143e-15	5.93937e-35	5.11107e-17	1.4996e-16	1
Cell_825	1.80783e-14	8.41327e-43	1.82684e-15	2.93115e-16	1
Cell_826	3.53925e-17	4.11247e-17	1.71432e-19	8.052e-19	1
Cell_827	2.30994e-14	5.38787e-35	2.20835e-10	3.63123e-16	1
Cell_828	1.59301e-25	8.49401e-58	1.60976e-26	2.50322e-27	1
